pre_z,pre_y,pre_x,post_z,post_y,post_x
3320.0,2530.01,2964.11,3320.0,2564.04,2866.19
3280.0,3046.39,2511.09,3280.0,2919.73,2480.48
3320.0,3099.76,2436.4,3320.0,2971.89,2385.27
2240.0,3180.07,2868.9,2240.0,3241.92,2771.4
4240.0,3477.95,4246.81,4200.0,3363.25,4312.35
4280.0,3456.82,4250.72,4280.0,3309.28,4273.45
2360.0,2727.01,3410.08,2360.0,2590.43,3434.65
2640.0,3725.91,3175.21,2600.0,3673.51,3070.93
4600.0,3996.22,2488.19,4600.0,3889.04,2524.15
2680.0,3232.29,3767.66,2640.0,3119.78,3778.04
4640.0,4070.56,2566.86,4640.0,3979.6,2644.66
4560.0,4704.2,3788.9,4560.0,4816.7,3807.57
4360.0,3576.75,2479.3,4360.0,3489.64,2378.45
4040.0,3090.25,2809.4,4000.0,2971.46,2879.17
4560.0,4010.79,2220.49,4560.0,3898.42,2154.71
4840.0,4473.38,3542.15,4920.0,4565.25,3450.87
4680.0,4017.11,2165.09,4680.0,3917.35,2124.18
4480.0,3999.19,2461.66,4480.0,3886.51,2451.74
2720.0,3587.27,3326.2,2720.0,3507.94,3196.35
4040.0,3284.02,3063.85,4040.0,3237.46,3187.24
4520.0,4180.52,3296.23,4560.0,4179.88,3149.05
4040.0,3148.12,2938.97,4040.0,3031.99,3019.61
3000.0,2295.9,3657.48,2960.0,2254.33,3766.79
2000.0,2450.78,2243.31,2000.0,2529.28,2182.64
4680.0,4012.1,2247.22,4680.0,3900.93,2248.09
2000.0,2480.16,2321.34,1960.0,2587.84,2312.24
3000.0,2503.84,3655.49,2960.0,2513.42,3782.89
4360.0,3652.14,2443.8,4360.0,3634.65,2312.24
4040.0,3207.68,3020.58,4040.0,3126.18,3128.13
4600.0,4619.19,3583.73,4600.0,4716.44,3474.83
4680.0,4282.29,3378.98,4680.0,4279.0,3238.8
4680.0,4348.25,3421.84,4680.0,4431.5,3290.92
3080.0,2550.74,3792.71,3080.0,2512.77,3940.81
4280.0,3476.07,3579.66,4280.0,3389.35,3533.12
4120.0,3534.2,3643.94,4080.0,3427.8,3599.31
4720.0,4572.03,3560.51,4760.0,4645.44,3472.87
4480.0,4017.49,2531.62,4480.0,3912.19,2574.32
4680.0,4054.55,2427.88,4720.0,3953.76,2458.44
4520.0,4669.12,3661.75,4520.0,4799.24,3647.27
2160.0,3139.94,2505.82,2160.0,3118.79,2636.08
2200.0,2883.59,2832.03,2200.0,2880.67,2704.27
2160.0,2406.05,2249.27,2160.0,2487.11,2138.18
2080.0,2840.06,2121.54,2040.0,2704.39,2128.62
2160.0,3060.2,2463.19,2160.0,2952.46,2542.89
2280.0,2853.73,2836.1,2320.0,2809.93,2707.8
2000.0,2891.99,2756.94,2000.0,2842.24,2613.14
2200.0,2796.04,2849.66,2200.0,2754.45,2739.29
2000.0,2865.12,2206.01,2000.0,2773.61,2259.02
2160.0,2565.47,4461.69,2200.0,2708.79,4355.94
2400.0,2681.24,4727.73,2400.0,2734.2,4595.51
2160.0,2663.47,4585.74,2200.0,2823.87,4546.39
2280.0,3104.9,2873.71,2280.0,3129.22,2728.84
3000.0,2290.64,2754.74,3000.0,2358.07,2645.04
3000.0,2157.79,2739.9,3000.0,2102.23,2636.51
2640.0,3667.07,3259.1,2640.0,3567.5,3154.48
2440.0,3086.87,3482.97,2480.0,3169.83,3567.66
2640.0,3542.03,3356.3,2640.0,3456.51,3241.5
2680.0,3367.7,3549.38,2680.0,3254.49,3495.21
2520.0,3535.09,3436.17,2520.0,3448.39,3316.61
2600.0,3449.74,3444.7,2600.0,3376.27,3332.88
2480.0,2902.84,3519.99,2560.0,2906.93,3647.53
2600.0,3298.96,3722.14,2600.0,3189.62,3630.08
2480.0,2830.3,3488.39,2520.0,2764.99,3609.37
2440.0,2797.01,3476.68,2440.0,2634.79,3480.27
2640.0,2770.19,2301.89,2640.0,2746.44,2429.29
3240.0,2568.77,3019.89,3240.0,2652.29,2923.62
3240.0,2640.79,3163.6,3240.0,2758.99,3088.36
3120.0,2589.52,3143.3,3120.0,2718.3,3078.8
3240.0,2703.65,3340.7,3240.0,2811.12,3312.97
3320.0,2690.83,3273.37,3320.0,2815.97,3250.12
2480.0,2951.24,2897.14,2480.0,2967.27,2774.98
2760.0,2714.16,2247.44,2840.0,2644.88,2328.22
2760.0,2660.2,2183.83,2800.0,2562.57,2243.36
3160.0,2645.64,3265.06,3120.0,2770.04,3220.87
2720.0,2737.05,2286.22,2720.0,2672.97,2399.73
2280.0,3189.48,2494.02,2280.0,3203.77,2630.05
2440.0,3160.0,3466.72,2440.0,3305.08,3507.4
2680.0,3254.84,3682.8,2680.0,3148.46,3592.92
2600.0,3610.66,3320.75,2560.0,3574.56,3205.42
2680.0,3449.24,3452.01,2680.0,3359.13,3347.63
2680.0,3743.27,3178.64,2680.0,3689.69,3042.0
3360.0,2416.92,2495.71,3320.0,2543.25,2553.24
3320.0,2392.36,2460.74,3280.0,2526.68,2453.48
3360.0,2430.57,2376.31,3360.0,2552.89,2302.78
3000.0,2407.94,3664.1,2960.0,2362.93,3799.69
3040.0,2471.73,3723.58,3040.0,2419.66,3856.37
3360.0,2614.73,3116.33,3360.0,2704.35,2979.74
3640.0,3293.59,2848.07,3680.0,3225.23,2812.07
3280.0,2338.8,2495.98,3200.0,2425.07,2521.61
2800.0,3501.86,2600.23,2800.0,3370.56,2692.49
2440.0,2992.41,3557.57,2480.0,3027.88,3681.13
2320.0,2949.54,2234.49,2360.0,2848.1,2274.54
3640.0,3289.48,2956.24,3680.0,3196.35,2990.39
3640.0,3302.88,3009.1,3680.0,3249.14,3093.91
3600.0,3223.8,2891.27,3640.0,3153.59,2897.44
4080.0,3570.3,3936.87,4040.0,3444.5,3949.3
4040.0,3622.93,3798.45,4000.0,3479.44,3809.44
2320.0,2946.0,2156.0,2320.0,2800.42,2128.62
2320.0,2702.0,3346.0,2320.0,2552.0,3290.0
4560.0,2291.0,3826.0,4520.0,2319.74,3944.02
4240.0,2359.3,2749.84,4200.0,2463.0,2843.0
4720.0,2701.0,3086.0,4720.0,2818.55,3138.81
2360.0,2833.49,3566.6,2320.0,2737.33,3677.31
2280.0,3146.84,2472.02,2360.0,3151.0,2559.09
4040.0,2280.63,3632.46,4160.0,2288.38,3576.21
4640.0,2256.32,3835.47,4640.0,2283.0,3971.0
4520.0,2819.09,3870.3,4480.0,2703.13,3901.8
4600.0,2342.21,3817.92,4600.0,2454.38,3930.21
4120.0,3008.63,2788.72,4080.0,2895.27,2846.24
4120.0,3228.84,3012.37,4120.0,3125.86,3114.98
4440.0,3509.95,2164.38,4440.0,3611.76,2209.02
4640.0,3079.96,3314.41,4600.0,2975.41,3332.37
4600.0,2567.83,3586.83,4600.0,2705.71,3526.31
4560.0,2913.89,3633.79,4560.0,2870.85,3506.77
3920.0,2719.11,2758.47,3920.0,2841.85,2681.21
4640.0,2721.47,3040.56,4600.0,2865.41,3077.51
4760.0,2684.11,2984.84,4800.0,2784.34,2924.63
4600.0,2196.58,3875.34,4560.0,2171.03,3974.21
4360.0,2308.2,3405.47,4280.0,2389.0,3446.0
4720.0,2703.22,3029.04,4720.0,2817.62,2999.55
4480.0,2427.56,3424.42,4480.0,2575.77,3354.98
4520.0,2863.83,3687.23,4440.0,2774.95,3628.37
4400.0,2385.93,3402.0,4360.0,2550.88,3432.6
4360.0,2364.45,3274.17,4320.0,2534.31,3263.45
4400.0,2355.04,3187.61,4320.0,2467.63,3139.58
4840.0,2865.87,2220.45,4800.0,2984.18,2218.64
4720.0,2782.2,2154.18,4680.0,2888.52,2106.47
4600.0,2745.52,2227.88,4560.0,2880.38,2260.12
4760.0,2806.1,2269.76,4720.0,2891.43,2307.19
4080.0,3585.13,3633.62,4000.0,3477.15,3637.43
4320.0,2267.38,3352.4,4240.0,2294.7,3415.22
4120.0,2283.0,3776.0,4120.0,2181.0,3652.0
4280.0,3690.19,2383.09,4280.0,3697.0,2226.0
2080.0,2433.76,2226.8,2080.0,2520.89,2140.02
2280.0,2502.33,2501.3,2320.0,2636.24,2459.59
4000.0,2225.0,3676.0,4000.0,2123.0,3616.0
2040.0,2722.61,2978.83,2040.0,2623.47,2962.63
2280.0,2412.78,2369.32,2320.0,2494.13,2280.73
2040.0,2911.83,2292.88,2040.0,2839.6,2374.08
2080.0,2783.44,2903.55,2080.0,2674.67,2827.94
2000.0,3090.55,2487.13,2000.0,3035.58,2615.38
2240.0,2471.55,2418.71,2240.0,2601.26,2356.66
2480.0,2425.66,4703.94,2520.0,2374.17,4564.56
2440.0,2869.44,2904.12,2480.0,2836.12,2794.94
4000.0,2214.84,3758.57,3960.0,2103.63,3775.62
2200.0,2859.49,2242.23,2240.0,2736.07,2289.38
2520.0,2579.7,4744.71,2560.0,2599.35,4580.1
2520.0,2663.0,4762.0,2560.0,2715.89,4632.7
2520.0,2484.17,4723.25,2560.0,2461.66,4605.58
4320.0,2229.96,3332.86,4240.0,2164.52,3353.18
4160.0,3340.39,3108.14,4160.0,3327.0,3262.0
4600.0,3317.84,3323.24,4520.0,3350.13,3253.26
2240.0,3099.63,2490.93,2280.0,3046.83,2602.86
3040.0,2247.1,2730.45,3040.0,2249.15,2622.87
3320.0,3059.85,2545.66,3400.0,2992.63,2510.52
4000.0,2284.7,3595.24,4000.0,2241.93,3483.63
4480.0,3005.89,3680.42,4440.0,3032.31,3560.18
3320.0,2316.99,2548.3,3320.0,2412.0,2660.89
3000.0,2244.48,3582.3,2960.0,2158.6,3671.62
4520.0,3108.56,3720.73,4440.0,3201.54,3691.14
4480.0,2946.38,3686.64,4440.0,2897.14,3556.56
4520.0,2804.22,3786.92,4480.0,2678.27,3753.21
3400.0,3215.33,5028.53,3360.0,3361.15,4948.69
4560.0,2546.56,3600.78,4520.0,2635.91,3623.87
4560.0,2817.01,3698.34,4560.0,2684.97,3641.05
4360.0,2289.84,3476.96,4320.0,2348.08,3551.61
4000.0,2246.15,3617.46,4040.0,2166.5,3509.64
3280.0,2520.88,4933.47,3200.0,2520.47,4804.93
3280.0,2601.24,4959.65,3240.0,2696.91,4834.53
3440.0,3187.36,4962.2,3400.0,3268.75,4818.51
3920.0,2186.89,3216.03,3960.0,2076.66,3259.53
3280.0,2655.97,5049.07,3160.0,2682.53,5006.79
3320.0,3027.95,4964.03,3280.0,3030.36,4835.95
